file_source,final_score,p1_green1,p1_green2,p1_green3,p1_green4,p1_green5,p1_yellow1,p1_yellow2,p1_yellow3,p1_yellow4,p1_yellow5,p1_white1,p1_white2,p1_white3,p1_white4,p1_white5,p1_blue1,p1_blue2,p1_blue3,p1_blue4,p1_blue5,p1_red1,p1_red2,p1_red3,p1_red4,p1_red5,p2_green1,p2_green2,p2_green3,p2_green4,p2_green5,p2_yellow1,p2_yellow2,p2_yellow3,p2_yellow4,p2_yellow5,p2_white1,p2_white2,p2_white3,p2_white4,p2_white5,p2_blue1,p2_blue2,p2_blue3,p2_blue4,p2_blue5,p2_red1,p2_red2,p2_red3,p2_red4,p2_red5,1_count,2_count,3_count,4_count,5_count,green_count,yellow_count,white_count,blue_count,red_count,p1_hand_sum,p1_avg_value,p2_hand_sum,p2_avg_value,p1_unique_cards,p2_unique_cards,avg_max_possible_progress
gamec3d0591c0b33dfc0.log,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,0,5,2,0,1,1,3,5,16,3.2,19,3.8,4,4,0.4
game648f2a60da68b98b.log,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4,2,1,0,0,2,2,3,3,12,2.4,9,1.8,5,5,1.2
game4e42491a841e2d43.log,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,2,1,1,1,2,1,5,13,2.6,12,2.4,4,5,0.6
game5b87e462d092cfe2.log,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,4,1,1,3,1,1,0,3,4,2,15,3.0,11,2.2,5,5,0.8
game4f51c18e685358e8.log,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,3,3,0,1,1,1,2,3,3,11,2.2,12,2.4,5,5,1.0
gameb0987ac9ffc4beea.log,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,1,2,0,1,1,4,3,1,12,2.4,10,2.0,5,4,1.0
game6d32d04fd412a8d3.log,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,1,3,1,2,1,1,1,5,2,12,2.4,16,3.2,4,5,0.4
gameb9f6e17d8e157a01.log,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,4,3,3,0,3,2,2,17,3.4,18,3.6,5,4,0.6
gamebb43436d984b1fd4.log,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,4,3,3,0,3,2,2,17,3.4,18,3.6,5,4,0.6
gamef08e8498b6045191.log,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,1,3,3,0,3,3,1,15,3.0,12,2.4,5,4,1.0
game2b70290d8555855f.log,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3,2,3,0,0,2,4,2,2,16,3.2,10,2.0,4,5,0.6
gamec9f31a5812f9f4c7.log,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,2,2,2,2,2,0,2,3,3,15,3.0,15,3.0,5,4,0.2
game04608cf5c8e00488.log,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2,3,4,0,1,1,2,3,3,15,3.0,15,3.0,5,5,0.2
gamed896d5885ccb6a8c.log,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,3,2,1,1,1,4,3,1,14,2.8,15,3.0,5,5,0.2
game77606011b049c5b3.log,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,2,2,3,0,1,1,3,2,3,13,2.6,12,2.4,5,4,0.6
game292febed0b3eb539.log,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,1,0,4,3,1,2,15,3.0,14,2.8,5,4,0.2
game0c420b6bf684e79d.log,17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,3,4,0,1,1,3,2,3,10,2.0,19,3.8,5,5,0.4
game6fb070290257c68e.log,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,2,2,4,1,1,0,4,3,2,13,2.6,19,3.8,5,4,0.2
game89ad0c9c2c0d4caa.log,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,2,2,4,1,1,0,4,3,2,13,2.6,19,3.8,5,4,0.2
game1b503465a2a38885.log,17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,3,2,0,0,2,4,4,0,13,2.6,10,2.0,5,5,1.2
gamee467658d83395693.log,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,2,2,0,3,2,3,2,10,2.0,21,4.2,4,5,0.2
game70bbee7460360b70.log,11,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,2,3,1,3,0,4,3,0,16,3.2,14,2.8,4,5,0.4
game6e16d13aca14c0e5.log,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,4,1,2,0,0,2,2,2,4,11,2.2,11,2.2,4,5,1.4
gamec7e65147e4daa3fb.log,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,5,0,2,1,3,3,1,13,2.6,16,3.2,3,5,0.4
game13198990526c486e.log,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,3,4,1,1,11,2.2,19,3.8,4,5,0.4
game5a3b955fcacca77b.log,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,3,4,1,1,11,2.2,19,3.8,4,5,0.4
game174ac69b68523c82.log,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,3,2,2,1,1,1,3,1,4,12,2.4,15,3.0,4,5,0.2
game84c8bd4b5788ff42.log,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,1,3,3,1,1,2,3,17,3.4,12,2.4,5,5,0.6
game22526dd396ec5355.log,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,3,1,0,3,2,2,3,12,2.4,15,3.0,5,5,0.6
