file_source,final_score,p1_green1,p1_green2,p1_green3,p1_green4,p1_green5,p1_yellow1,p1_yellow2,p1_yellow3,p1_yellow4,p1_yellow5,p1_white1,p1_white2,p1_white3,p1_white4,p1_white5,p1_blue1,p1_blue2,p1_blue3,p1_blue4,p1_blue5,p1_red1,p1_red2,p1_red3,p1_red4,p1_red5,p2_green1,p2_green2,p2_green3,p2_green4,p2_green5,p2_yellow1,p2_yellow2,p2_yellow3,p2_yellow4,p2_yellow5,p2_white1,p2_white2,p2_white3,p2_white4,p2_white5,p2_blue1,p2_blue2,p2_blue3,p2_blue4,p2_blue5,p2_red1,p2_red2,p2_red3,p2_red4,p2_red5,p1_1_count,p1_2_count,p1_3_count,p1_4_count,p1_5_count,p1_hand_sum,p1_avg_value,p2_1_count,p2_2_count,p2_3_count,p2_4_count,p2_5_count,p2_hand_sum,p2_avg_value,id, ai, deck, score, time, first,ai,deck,score,age,boardgameexp,gamer,hanabiexp,recent,maxscore,intention,skill,like,publish
game045e2fc8762a6d18.log,13,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,1,0,9,1.8,1,0,2,0,2,17,3.4,ca0922b34e670338, intentional,7306,18,1491767569.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game04608cf5c8e00488.log,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,1,2,0,15,3.0,1,0,2,2,0,15,3.0,1d9428fe2df1528d, outer,3,5,1490314850.0, yes, outer,3,5, 20s, 4, yes, 3, 4, 4, 3, 2, 1, yes
game0465208f998a600a.log,9,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,3,1,1,0,0,8,1.6,2,0,1,1,1,14,2.8,e55525e0b2004294, full,2812,14,1490337024.0, no, intentional,5,19, 20s, 4, yes, 4, 4, 4, 3, 3, 3, yes
game04b7026424a5d1c9.log,21,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,1,1,0,1,12,2.4,1,2,0,2,0,13,2.6,ca0922b34e670338, intentional,6332,16,1492558850.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game04becd7acc75d650.log,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,1,12,2.4,1,0,2,0,2,17,3.4,7a3c06db23768808, full,2995,18,1491251042.0, no, full,4,12, 50s, 3, yes, 3, 4, 1, 3, 2, 3, yes
game04d339ee3d4d6490.log,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,1,0,2,1,1,16,3.2,3,0,1,0,1,11,2.2,2119fe68a204e42a, intentional,5359,18,1490309621.0, no, outer,2,4, 20s, 4, yes, 4, 4, 4, 3, 2, 4, yes
game04dbfe6aa5019006.log,17,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,20,4.0,1,2,0,1,1,14,2.8,ca0922b34e670338, full,6044,8,1492582071.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game04df83b922b260a7.log,16,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,4,0,0,1,0,8,1.6,3,1,0,1,0,9,1.8,f2d5139df774f875, full,2041,9,1490308210.0, no, full,1,19, 30s, 3, yes, 2, 3, 2, 3, 2, 2, yes
game04e101e8fc083082.log,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,2,2,0,15,3.0,0,1,0,3,1,19,3.8,ca0922b34e670338, outer,7720,16,1492597574.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game04ea55977fab0369.log,14,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,16,3.2,2,0,1,1,1,14,2.8,ca0922b34e670338, intentional,8914,17,1492595636.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game0507c949f6bccbf2.log,18,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2,1,0,1,13,2.6,1,0,1,3,0,16,3.2,ca0922b34e670338, full,3866,16,1492558077.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game052c15c0f5b0f53f.log,11,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,11,2.2,1,1,0,2,1,16,3.2,19dbddedf07994e2, outer,3353,0,1489922395.0, no, outer,3,8, 30s, 4, yes, 4, 4, 4, 5, 3, 3, yes
game05793f48e44e030e.log,16,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,3,1,0,0,1,10,2.0,2,1,0,2,0,12,2.4,ca0922b34e670338, intentional,7533,17,1492714450.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game05b1d0a20e87886f.log,20,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,1,0,1,0,9,1.8,2,1,1,1,0,11,2.2,f84d104ad34eaf84, intentional,4,8,1490302238.0, yes, intentional,4,8, 20s, 4, yes, 3, 4, 4, 1, 1, 1, yes
game05deedeb297b482b.log,17,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,3,1,1,0,13,2.6,3,1,0,0,1,10,2.0,0313454f0e513527, outer,2,7,1490323281.0, yes, outer,2,7, , , , , , , 3, 2, 4, yes
game06072d8b4397b8e3.log,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,11,2.2,0,0,3,1,1,18,3.6,a992a1fd533fcd43, outer,8777,15,1490802643.0, no, full,4,9, 30s, 4, yes, 4, 4, 3, 5, 1, 2, yes
game06244e7fa07fc558.log,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,10,2.0,3,0,1,0,1,11,2.2,7a3c06db23768808, full,5632,21,1491250706.0, no, full,4,12, 50s, 3, yes, 3, 4, 1, 3, 2, 3, yes
game065c951a827a6a29.log,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,3,1,1,18,3.6,0,1,2,2,0,16,3.2,ca0922b34e670338, intentional,3125,19,1492711193.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game0682ed6ae1824a2a.log,13,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,1,0,14,2.8,3,0,0,0,2,13,2.6,19dbddedf07994e2, full,2180,0,1490533332.0, no, outer,3,8, 30s, 4, yes, 4, 4, 4, 5, 3, 3, yes
game06866381adb65440.log,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,2,0,14,2.8,0,2,3,0,0,13,2.6,e55525e0b2004294, full,2355,20,1490340440.0, no, intentional,5,19, 20s, 4, yes, 4, 4, 4, 3, 3, 3, yes
